country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.454172
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,254.77659
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,65530.5238
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.535796
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.30078
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.015068
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.023611
Austria,AUT,2021,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.367555
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,251.88498
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,61214.0613
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.474625
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.68941
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.01611
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.024077
Austria,AUT,2022,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.362235
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,249.7393
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,56647.34816
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.359559
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.29597
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.017841
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.026107
Austria,AUT,2023,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.372072
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,246.22975
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,54826.40904
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.296836
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.2777
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.008632
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.017935
Austria,AUT,2024,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.339997
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,405.66791
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,126879.48352
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.088809
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,31.52117
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.403251
Belgium,BEL,2000,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.148969
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,387.87042
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,126197.93951
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.172758
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,30.31956
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.240079
Belgium,BEL,2001,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.143949
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,370.97041
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,126963.43804
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.401866
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,29.07957
Belgium,BEL,2002,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.090948
